ASIN,SKU,製品概要,ブランド,タイトル,タイトルリンク,URL,メイン画像,親ASIN,カテゴリー,親カテゴリー,親カテゴリーBSR,親カテゴリーBSR増加数,親カテゴリーBSR成長率,子カテゴリー,子カテゴリーBSR,月間販売数,月間販売数成長率,月間販売額(￥),子ASIN販売数,子ASIN販売額(￥),バリエーション数,価格(￥),prime価格(￥),Coupon,Q&A,評価数,月間評価値増加数,評価値,評価率,FBA(￥),粗利益,等級,出品日付,販売時間,配送方法,配送料金(￥),LQS,セラー数,BuyBoxセラー,BuyBoxタイプ,セラー所在地,セラー情報,セラーリンク,Best Sellerマーク,スポンサー,ブランド紹介,スポンサー ブランド,タイムセール,Amazon's Choice,New Releaseマーク,A+ページ,動画紹介,ACキーワード,重量,重量.1,体積,体積.1
B0D66JN62R,,色:チャコール | ブランド:涼活本舗 | メーカー:クロスプラス株式会社 | ストラップタイプ:調節可能,涼活本舗,[涼活本舗] 冷感 パッド リュック用 28℃ 自然冷却 クール 熱中症対策 取り付け簡単,https://www.amazon.co.jp/s?k=涼活本舗,https://www.amazon.co.jp/dp/B0D66JN62R,https://m.media-amazon.com/images/I/71LI1WQ+weL._AC_US600_.jpg,B0D66CYSJ9,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:レディース,ファッション,"25,089","-21,723",-6.45,レディースタウンリュック・ビジネスリュック,7,"2,392",0%,"4,797,754","2,000 ","3,980,000 ",1,"1,990.00",,,,48,23,3.7,0.96%,318.00,82%,,2024-06-04,56 ,FBA,,9.0,1.0,crossmarche,FBA,JP,"会社名：CROSS PLUS INC
電話番号：+81336695209
オフィス住所：
花の木三丁目９番１３号
名古屋市西区
愛知県
4510062
JP
マネージャー：RINA TADA",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AEF7936AHJKU2,Y,,,,,,,Y,N,,310 g,310.00 g,1 x 22 x 24.5 cm,1.00 x 22.00 x 24.50 cm
B09FJMKJGD,色: SS22ネイビー,耐水レベル:非防水 | インナー素材:ポリエステル | クロージャータイプ:ファスナー | 外装素材:ナイロン/ポリエステル,Coleman(コールマン),[コールマン]リュック/バックパック ウォーカー25 メンズ/レディース,https://www.amazon.co.jp/s?k=Coleman(コールマン),https://www.amazon.co.jp/dp/B09FJMKJGD,https://m.media-amazon.com/images/I/814Jl+VXj4L._AC_US600_.jpg,B0B79C7Q3K,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,494,259,0.34,メンズタウンリュック・ビジネスリュック,4,"2,242",,"22,375,160",,,12,"9,980.00",,,83.0,"5,367",43,4.5,1.92%,815.00,88%,,2014-09-30,"3,591 ",,,7.0,1.0,グローバルショッピングストア,,JP,"会社名：SP.Global
電話番号：+819069540619
オフィス住所：
大田区東矢口
3-1-11
大田区東矢口
東京都
146-0094
JP
マネージャー：hiroyuki mashiko",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1VMJE9JZ5TCNA,,,,,,,,Y,N,,600 g,600.00 g,20 x 31 x 45 cm,20.00 x 31.00 x 45.00 cm
B0BR3HRCMG,色: ブラック,,Vulmoon,[Vulmoon] リュック メンズ おしゃれ バックパック 通学 軽量 大容量 防水 15.6インチ りゅつく カジュアル タウンリュック 男女兼用,https://www.amazon.co.jp/s?k=Vulmoon,https://www.amazon.co.jp/dp/B0BR3HRCMG,https://m.media-amazon.com/images/I/51-yobbAJ6L._AC_US600_.jpg,B0CKTJN5NX,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,"1,090",-559,-1.05,メンズタウンリュック・ビジネスリュック,9,"1,919",51%,"6,854,303","1,000 ","3,880,000 ",5,"3,880.00","3,490.00","￥1,000.00",11.0,941,47,4.4,2.45%,514.00,87%,,2023-01-03,574 ,FBA,,9.0,2.0,Vulmoon直営店,FBA,CN,"会社名：xinningxianpingchundianzishangwuyouxiangongsi
電話番号：+8613040474195
オフィス住所：
金石镇观瀑村2组136号（承诺申报）
邵阳市
新宁县
湖南省
422700
CN
マネージャー：chunping li",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2TNSII4248TT5,,,,,,Y,,Y,Y,リュックサック,540 g,540.00 g,45 x 31.5 x 14 cm,45.00 x 31.50 x 14.00 cm
B0CP54SV7C,色: TNFブラック/TNFホワイト,耐水レベル:非防水,THE NORTH FACE(ザノースフェイス),[ザノースフェイス] リュック BC Fuse Box II BCヒューズボックス2 NM82255 ユニセックス,https://www.amazon.co.jp/s?k=THE NORTH FACE(ザノースフェイス),https://www.amazon.co.jp/dp/B0CP54SV7C,https://m.media-amazon.com/images/I/41RZqSx5Q1L._AC_US600_.jpg,B0CZ47LP38,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,674,,,メンズタウンリュック・ビジネスリュック,8,"1,877",,"37,538,124",,,30,"19,999.00",,,,"1,640",8,4.6,0.43%,975.00,95%,,2024-03-25,127 ,AMZ,,9.0,2.0,Amazon,AMZ,,,,,,,,,,,Y,N,,,,15 x 33 x 46 cm,15.00 x 33.00 x 46.00 cm
B08CC663V1,色: ピンク,,共同冷蔵株式会社,冷えゾウくん リュック 熱中症対策グッズ おしゃれ 冷却 保冷剤 繰り返し使える 夏場のキッチン 炎天下のｶﾞｰﾃﾞﾆﾝｸﾞ 飲食店の厨房 屋外作業 医療現場 介護現場 運動 釣り 外仕事 暑さ対策 登山 保冷リュック,https://www.amazon.co.jp/s?k=共同冷蔵株式会社,https://www.amazon.co.jp/dp/B08CC663V1,https://m.media-amazon.com/images/I/81RMKdhMm8L._AC_US600_.jpg,B08CCW2WZM,ホーム＆キッチン:生活雑貨:冷却タオル,ホーム＆キッチン,"1,103",-239,-0.28,冷却タオル,13,"1,856",,"2,598,400",400 ,"560,000 ",2,"1,400.00",,,,356,14,3.6,0.75%,465.00,52%,,2020-07-01,"1,490 ",FBA,,7.0,1.0,共同冷蔵 株式会社,FBA,JP,"会社名：共同冷蔵株式会社
電話番号：0465439600
オフィス住所：
大井町上大井３８９
足柄上郡
神奈川県
2580016
JP
マネージャー：西宮 慶光",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1VRZD47M8WZI5,,,,,,,,,N,,1.06 kg,1.06 kg,26 x 15 x 5 cm,26.00 x 15.00 x 5.00 cm
B09PRBH366,色: ブラック,,RONDE,[RONDE] デイパック リュック 人気 軽量 大容量 通勤 通学 旅行 マザーズバッグ 撥水 キャリーオン PCポケット お出かけ 黒 グレー ネイビー 迷彩 カモフラージュ シンプル ユニセックス レディース,https://www.amazon.co.jp/s?k=RONDE,https://www.amazon.co.jp/dp/B09PRBH366,https://m.media-amazon.com/images/I/61kx1stzJAL._AC_US600_.jpg,B09X5H3Q91,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,"3,694",-173,-0.05,"レディースタウンリュック・ビジネスリュック
メンズタウンリュック・ビジネスリュック","5
42","1,856",173%,"9,002,175","1,000 ","3,980,000 ",4,"3,980.00",,40%,5.0,"1,243",42,4.4,2.26%,514.00,87%,,2022-03-12,871 ,FBA,,10.0,1.0,【公式】GLEVIO(グレヴィオ),FBA,JP,"会社名：株式会社FUROSHIKI
電話番号：03-6826-0960
オフィス住所：
高輪4-10-18
京急第1ビル 13F
港区
東京都
108-0074
JP
マネージャー：下村 祐貴子",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1B9FZKKF34WJP,,,,,,,,Y,N,,510 g,510.00 g,13 x 31 x 44 cm,13.00 x 31.00 x 44.00 cm
B0CNPL1P1R,色: グリーン,,HOMIEE,[HOMIEE] リュック レディース 軽量 バッグ 大人 A4 15ポケット 防水 14インチPC ビジネス バックパック マザーズバッグ おしゃれ 通学 通勤 人気 ファッション ナイロン 大容量 メンズ 男女兼用 バックパック トラベル ギフト,https://www.amazon.co.jp/s?k=HOMIEE,https://www.amazon.co.jp/dp/B0CNPL1P1R,https://m.media-amazon.com/images/I/61cvz6PWsBL._AC_US600_.jpg,B0CJ4DY5TB,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:レディース,ファッション,"1,541",-458,-0.42,レディースタウンリュック・ビジネスリュック,1,"1,812",,"6,679,938",50 ,"189,950 ",17,"3,799.00",,,15.0,925,28,4.1,1.55%,514.00,86%,,2023-09-14,320 ,FBA,,9.0,1.0,HOMIEE Japan,FBA,CN,"会社名：Shenzhen Xinfengge Internet Technology Co. Ltd.
電話番号：+86 186 7552 7641
オフィス住所：
龙岗区坂田街道万科城社区新天下工业城01号
厂房四层401-39
深圳市
广东
518000
CN
マネージャー：Kexin Zhang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1VFJ3WN6MDXJG,Y,,,,,,,Y,N,,,,10 x 30 x 40 cm,10.00 x 30.00 x 40.00 cm
B08W8D86NM,色: イエロー,,LAD WEATHER(ラドウェザー）,[ラドウェザー] リュック メンズ レディース 撥水・防汚 リュックサック 通勤 通学 登山 USB充電ポート付き,https://www.amazon.co.jp/s?k=LAD WEATHER(ラドウェザー）,https://www.amazon.co.jp/dp/B08W8D86NM,https://m.media-amazon.com/images/I/41ea11LdhcL._AC_US600_.jpg,B08W8D86NM,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,,,,,メンズタウンリュック・ビジネスリュック,7,"1,810",,"5,212,800",,,12,"2,880.00",,,15.0,"1,828",,3.8,,485.00,83%,,2021-02-09,"1,267 ",,,9.0,1.0,LAD WEATHER (ラドウェザー),,JP,"会社名：株式会社クラージュ
電話番号：050-3186-4433
オフィス住所：
８８９番地３
カ－ネギー丸太町２階
京都市上京区千本通下立売下ル小山
京都府
6028157
JP
マネージャー：山口吉永",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2VD7PXCKGAUGF,,,,,,,,Y,N,,630 g,630.00 g,28 x 16 x 10 cm,28.00 x 16.00 x 10.00 cm
B0D49697H7,サイズ: L | 色: グリーン,素材構成:100% 半合成繊維(EVA) | 取り扱い案内:布で柔らかく汚れを拭きます。,Jerise,[Jerise] 【透明レインバイザー付き】 レインコート 大きいサイズ 男女兼用 リュック対応 超撥水 レインウェア バイク 自転車 雨具 レインポンチョ ロング 防水 防風 メンズ レディース 雨合羽 かっぱ 梅雨対策 豪雨対応 軽量 通勤通学 収納袋付き,https://www.amazon.co.jp/s?k=Jerise,https://www.amazon.co.jp/dp/B0D49697H7,https://m.media-amazon.com/images/I/51onEquH-AL._AC_US600_.jpg,B0D49GDHKX,ファッション:メンズ:服＆ファッション小物:レインウェア:レインコート・ポンチョ,ファッション,"2,773",-593,-0.27,メンズレインコート・ポンチョ,3,"1,708",,"5,983,124",200 ,"598,000 ",12,"2,990.00",,,,88,39,4.2,2.28%,318.00,89%,,2024-05-15,76 ,FBA,,9.0,4.0,YangJiangShiHanNanNanShangMaoYouXianGongSi,FBA,CN,"会社名：YangJiangShiHanNanNanShangMaoYouXianGongSi
電話番号：+8615252221379
オフィス住所：
大石街道
礼村洪昌工业路二巷6号
番禺区
广州市
511430
CN
マネージャー：Shuai Shuai Wu",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A28M8OZ8WJ2TH,,,,,,,,Y,N,,,,,
B0D1KH99PD,サイズ: XL | 色: ホワイト,素材構成:100% 半合成繊維(EVA),DeliToo,[DeliToo] レインコート 自転車 リュック対応 【二重透明レインバイザー付き】 レインウェア レディース メンズ バイク レインポンチョ ロング 大きい 防水 防風 雨具 かっぱ 超撥水 梅雨対策 豪雨対応 軽量 男女兼用 収納袋付き,https://www.amazon.co.jp/s?k=DeliToo,https://www.amazon.co.jp/dp/B0D1KH99PD,https://m.media-amazon.com/images/I/51uzt4ZJmlL._AC_US600_.jpg,B0D1KH81Y7,ファッション:レディース:服＆ファッション小物:レインウェア:レインコート・ポンチョ,ファッション,"2,657","-2,099",-3.76,レディースレインコート・ポンチョ,2,"1,673",,"5,663,791",100 ,"359,900 ",12,"3,599.00",,,,78,29,4.2,1.73%,318.00,89%,,2022-06-11,780 ,FBA,,8.0,1.0,DeliToo Direct,FBA,CN,"会社名：Chuny
電話番号：+8613725432922
オフィス住所：
longgangqu bujijiedao
zhongxinglu fulixincun
GUANG ZHOU
GUANG DONG
518100
CN
マネージャー：chenruichun",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2N7FJLOSGT2E6,,,,,,,,,N,,600 g,600.00 g,32.1 x 23.1 x 3.3 cm,32.10 x 23.10 x 3.30 cm
B085HLVJYP,色: ブラック | スタイル: 2way,取り扱い案内:水拭き,GLEVIO(グレヴィオ),[グレヴィオ] ビジネスリュック メンズ 2way 3way 薄型 大容量 拡張機能付き リュック バックパック USB 黒 グレー ネイビー ブラック,https://www.amazon.co.jp/s?k=GLEVIO(グレヴィオ),https://www.amazon.co.jp/dp/B085HLVJYP,https://m.media-amazon.com/images/I/418dwHZAdzL._AC_US600_.jpg,B0CY2RGV1L,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,"2,597",402,0.13,メンズタウンリュック・ビジネスリュック,23,"1,604",76%,"11,884,261",400 ,"3,032,000 ",9,"7,580.00",,5%,42.0,"6,001",46,4.2,2.87%,815.00,89%,,2019-12-26,"1,678 ",FBA,,9.0,1.0,【公式】GLEVIO(グレヴィオ),FBA,JP,"会社名：株式会社FUROSHIKI
電話番号：03-6826-0960
オフィス住所：
高輪4-10-18
京急第1ビル 13F
港区
東京都
108-0074
JP
マネージャー：下村 祐貴子",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1B9FZKKF34WJP,,,,,,,,Y,Y,,960 g,960.00 g,12.5 x 34 x 46 cm,12.50 x 34.00 x 46.00 cm
