ASIN,SKU,製品概要,ブランド,タイトル,タイトルリンク,URL,メイン画像,親ASIN,カテゴリー,親カテゴリー,親カテゴリーBSR,親カテゴリーBSR増加数,親カテゴリーBSR成長率,子カテゴリー,子カテゴリーBSR,月間販売数,月間販売数成長率,月間販売額(￥),子ASIN販売数,子ASIN販売額(￥),バリエーション数,価格(￥),prime価格(￥),Coupon,Q&A,評価数,月間評価値増加数,評価値,評価率,FBA(￥),粗利益,等級,出品日付,販売時間,配送方法,配送料金(￥),LQS,セラー数,BuyBoxセラー,BuyBoxタイプ,セラー所在地,セラー情報,セラーリンク,Best Sellerマーク,スポンサー,ブランド紹介,スポンサー ブランド,タイムセール,Amazon's Choice,New Releaseマーク,A+ページ,動画紹介,ACキーワード,重量,重量,体積,体積
B00GU5VUDK,色: 1.Blanc/Rouge,各合計:1 | アルコール含有量:9 容量パーセント | 原産地:ベルギー | 液体容量:330 ミリリットル | パッケージ重量:1.34 キログラム | ブランド:KAGUA | ユニット数:330.0 ミリリットル,KAGUA,【ビールギフト お中元 お祝い／和の馨るエール】クラフトビール 馨和 KAGUA カグア Blanc & Rouge 330mlボトル × 2本／ギフトボックス 飲み比べ 贈り物 お洒落 地ビール 誕生日 記念日 プレゼント お返し 高級ビール（アワード受賞歴多数）,https://www.amazon.co.jp/s?k=KAGUA,https://www.amazon.co.jp/dp/B00GU5VUDK,https://m.media-amazon.com/images/I/71fvm1roPVL._AC_US600_.jpg,B0CT8NBZTG,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"4,687",209,0.04,クラフトビール,15,"1,077",,"2,455,560",500 ,"1,140,000 ",5,"2,280.00",,,3,314,5,4.1 ,0.46%,465.00,70%,,2013-11-21,"3,873 ",FBA,,9,4,Far Yeast Brewing,FBA,JP,"会社名：Far Yeast Brewing 株式会社
電話番号：050-3135-3926
オフィス住所：
小菅村４３４１番地１
北都留郡
山梨県
4090211
JP
マネージャー：山田司朗",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1GGD7F4ET6PJI,,,,,,,,Y,N,,1.34 kg,1.34 kg,19 x 15.4 x 7.6 cm,19.00 x 15.40 x 7.60 cm
B0CQY8SKRY,色: 4.Blanc/Rouge Special Edition,各合計:1 | アルコール含有量:9 容量パーセント | 液体容量:330 ミリリットル | パッケージ重量:1.34 キログラム | ブランド:KAGUA | ユニット数:330.0 ミリリットル | 本体の説明:ライト,KAGUA,【ビールギフト お中元 お祝い／和の馨るエール】クラフトビール（ヴィンテージ） 馨和 KAGUA カグア Blanc & Rouge Special Edition 330mlボトル × 2本 ／ギフトボックス 飲み比べ 贈り物 お洒落 地ビール 誕生日 記念日 プレゼント お返し 高級ビール（アワード受賞歴多数）,https://www.amazon.co.jp/s?k=KAGUA,https://www.amazon.co.jp/dp/B0CQY8SKRY,https://m.media-amazon.com/images/I/71ArM8q9vfL._AC_US600_.jpg,B0CT8NBZTG,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"4,185","-2,231",-1.14,クラフトビール,13,"1,075",,"3,547,500",,,5,"3,300.00",,,,313,4,4.1 ,0.37%,465.00,76%,,2023-12-25,187 ,FBA,,,1,Far Yeast Brewing,FBA,JP,"会社名：Far Yeast Brewing 株式会社
電話番号：050-3135-3926
オフィス住所：
小菅村４３４１番地１
北都留郡
山梨県
4090211
JP
マネージャー：山田司朗",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1GGD7F4ET6PJI,,,,,,,,Y,N,,1.34 kg,1.34 kg,18.7 x 15.3 x 7.7 cm,18.70 x 15.30 x 7.70 cm
B0CT528M49,色: 3.Rouge/Saison,"各合計:1, 2 | アルコール含有量:9 容量パーセント | 液体容量:330 ミリリットル | パッケージ重量:1.33 キログラム | ブランド:KAGUA | ユニット数:330.0 ミリリットル | 本体の説明:ライト",KAGUA,【ビールギフト 父の日 お祝い／和の馨るエール】クラフトビール 馨和 KAGUA カグア Rouge & Saison 330mlボトル × 2本／ギフトボックス 飲み比べ 贈り物 お洒落 地ビール 誕生日 記念日 プレゼント お返し 高級ビール（アワード受賞歴多数）,https://www.amazon.co.jp/s?k=KAGUA,https://www.amazon.co.jp/dp/B0CT528M49,https://m.media-amazon.com/images/I/71WyNRCskXL._AC_US600_.jpg,B0CT8NBZTG,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"4,801","-4,178",-6.71,クラフトビール,13,"1,075",,"2,451,000",,,5,"2,280.00",,,,311,2,4.1 ,0.19%,465.00,70%,,2024-01-23,158 ,FBA,,9,1,Far Yeast Brewing,FBA,JP,"会社名：Far Yeast Brewing 株式会社
電話番号：050-3135-3926
オフィス住所：
小菅村４３４１番地１
北都留郡
山梨県
4090211
JP
マネージャー：山田司朗",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1GGD7F4ET6PJI,,,,,,,,Y,N,,1.33 kg,1.33 kg,18.8 x 15.4 x 7.8 cm,18.80 x 15.40 x 7.80 cm
B0D5LKB5VW,色: 5.KAGUA3種＋グラス,"各合計:1, 2 | アルコール含有量:9 容量パーセント | 液体容量:330 ミリリットル | パッケージ重量:2.52 キログラム | ブランド:KAGUA | ユニット数:330.0 ミリリットル",KAGUA,【ビールギフト 父の日 お祝い／和の馨るエール】クラフトビール 馨和 KAGUA カグア Blanc & Rouge & Saison各1本 ＋専用グラス特別ボックスセット 瓶ビール 330mlボトル／ギフトボックス 地ビール 誕生日プレゼント お歳暮 お年賀 高級ビール（アワード受賞歴多数）,https://www.amazon.co.jp/s?k=KAGUA,https://www.amazon.co.jp/dp/B0D5LKB5VW,https://m.media-amazon.com/images/I/61DnRade2VL._AC_US600_.jpg,B0CT8NBZTG,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"4,185","-2,231",-1.14,クラフトビール,13,"1,075",,"5,588,269",50 ,"275,000 ",5,"5,500.00",,,,313,3,4.1 ,0.28%,514.00,80%,,2024-05-29,31 ,FBA,,,1,Far Yeast Brewing,FBA,JP,"会社名：Far Yeast Brewing 株式会社
電話番号：050-3135-3926
オフィス住所：
小菅村４３４１番地１
北都留郡
山梨県
4090211
JP
マネージャー：山田司朗",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1GGD7F4ET6PJI,,,,,,,,,N,,2.52 kg,2.52 kg,37 x 22 x 10.9 cm,37.00 x 22.00 x 10.90 cm
B0CT58RQPX,色: 2.Blanc/Saison,各合計:1 | アルコール含有量:9 容量パーセント | 液体容量:330 ミリリットル | パッケージ重量:1.33 キログラム | ブランド:KAGUA | ユニット数:330.0 ミリリットル | 本体の説明:ライト,KAGUA,【ビールギフト お中元 お祝い／和の馨るエール】クラフトビール 馨和 KAGUA カグア Blanc & Saison 330mlボトル × 2本／ギフトボックス 飲み比べ 贈り物 お洒落 地ビール 誕生日 記念日 プレゼント お返し 高級ビール（アワード受賞歴多数）,https://www.amazon.co.jp/s?k=KAGUA,https://www.amazon.co.jp/dp/B0CT58RQPX,https://m.media-amazon.com/images/I/71yQ8ARlHkL._AC_US600_.jpg,B0CT8NBZTG,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"4,185","-2,231",-1.14,クラフトビール,13,"1,075",,"2,451,000",200 ,"456,000 ",5,"2,280.00",,,,313,4,4.1 ,0.37%,465.00,70%,,2024-01-23,158 ,FBA,,9,1,Far Yeast Brewing,FBA,JP,"会社名：Far Yeast Brewing 株式会社
電話番号：050-3135-3926
オフィス住所：
小菅村４３４１番地１
北都留郡
山梨県
4090211
JP
マネージャー：山田司朗",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1GGD7F4ET6PJI,,,,,,,,Y,N,,1.33 kg,1.33 kg,18.7 x 15.5 x 7.8 cm,18.70 x 15.50 x 7.80 cm
B09ZYFQRYY,,商品の重量:1.3 キログラム | 各合計:1 | アルコール含有量:5 容量パーセント | 原産地:バルセロナ | 液体容量:750 ミリリットル | 商品の個数:1 | パッケージ重量:1.67 キログラム | ブランド:ＫＵＧＥ | ユニット数:1.00 個 | 本体の説明:ライト,ＫＵＧＥ,イネディット 750ml ギフトボックス包装済み まるでシャンパンのような高級クラフトビール,https://www.amazon.co.jp/s?k=ＫＵＧＥ,https://www.amazon.co.jp/dp/B09ZYFQRYY,https://m.media-amazon.com/images/I/713noIT+w0L._AC_US600_.jpg,B0D5D8XWZ8,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"3,450","-1,741",-1.02,クラフトビール,3,"1,039",,"3,407,545",500 ,"1,840,000 ",1,"3,680.00",,,,70,6,4.4 ,0.58%,514.00,76%,,2021-11-28,944 ,FBA,,7,1,サニートレーディングジャパン【年中無休で発送中！】,FBA,JP,"会社名：有限会社ＫＵＧＥ
電話番号：050-1724-3218
オフィス住所：
文京５－２－６
木更津市
千葉県
2920804
JP
マネージャー：久下 直之",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AZJP1RR9MECKB,,,,,,,,Y,Y,,1.6 kg,1.60 kg,12 x 12 x 33 cm,12.00 x 12.00 x 33.00 cm
B0CKYG8LLZ,,商品の重量:4440 グラム | 各合計:12 | アルコール含有量:6 容量パーセント | 原産地:日本 | 液体容量:350 ミリリットル | パッケージ重量:4.58 キログラム | ブランド:SPRING VALLEY(スプリング バレー) | ユニット数:1 セット | 本体の説明:ライト,SPRING VALLEY(スプリング バレー),【お中元 ギフトセット ビール クラフトビール】[飲み比べセット]SPRING VALLEY(スプリングバレー) 豊潤<496>+シルクエール<白>+ジャパンエール<香> 350ml×12本,https://www.amazon.co.jp/s?k=SPRING VALLEY(スプリング バレー),https://www.amazon.co.jp/dp/B0CKYG8LLZ,https://m.media-amazon.com/images/I/71CVsIm241L._AC_US600_.jpg,B0D83HP14N,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"4,600","-1,783",-0.63,クラフトビール,13,965,,"3,346,880",900 ,"3,092,400 ",1,"3,436.00",,,,52,5,4.6 ,0.52%,514.00,77%,,2023-10-18,255 ,AMZ,,9,1,Amazon,AMZ,,,,,,,,,,,Y,Y,,4.44 kg,4.44 kg,27 x 20.5 x 13.4 cm,27.00 x 20.50 x 13.40 cm
B077928VMK,,,THE軽井沢ビール,THE軽井沢ビール 飲み比べセット 350ml缶6本入り クラフトビール 地ビール 詰め合わせ 定番 N-KE-PRIME,https://www.amazon.co.jp/s?k=THE軽井沢ビール,https://www.amazon.co.jp/dp/B077928VMK,https://m.media-amazon.com/images/I/718lA4R1sjL._AC_US600_.jpg,B077928VMK,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"3,510","1,984",0.36,クラフトビール,7,878,65%,"1,622,544",800 ,"1,478,400 ",1,"1,848.00",,,2,490,7,4.4 ,0.80%,514.00,62%,,2017-11-05,"2,428 ",FBA,,9,1,軽井沢ブルワリー【公式】,FBA,JP,"会社名：軽井沢ブルワリー株式会社
電話番号：0800-919-5959
オフィス住所：
軽井沢町軽井沢１０６２番地９
北佐久郡
長野県
3890102
JP
マネージャー：岡 慎一朗",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A207BLVAF079ZI,,,,,,,,Y,N,,907 g,907.00 g,20.5 x 13.5 x 14 cm,20.50 x 13.50 x 14.00 cm
B087K4B6MP,サイズ: 350ml x 10本,"各合計:10 | アルコール含有量:7 容量パーセント | 原産地:日本 | 液体容量:3500 ミリリットル | 商品の個数:10 | パッケージ重量:4.34 キログラム | ブランド:よなよなエール | ユニット数:10 本 | 本体の説明:フル,ライト,ミディアム",よなよなエール,【飲み比べ クラフトビール】よなよなエール 5種10本 ビール 詰め合わせセット クラフトビール 父の日プレゼント [限定包装] [メッセージカード付き] [ ビール 350ml x 10本 ],https://www.amazon.co.jp/s?k=よなよなエール,https://www.amazon.co.jp/dp/B087K4B6MP,https://m.media-amazon.com/images/I/71X-Y8+duTL._AC_US600_.jpg,B0CGQLB3P3,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"7,890","-4,854",-1.6,クラフトビール,19,827,"3,495%","3,200,903",600 ,"2,395,800 ",2,"3,993.00",,,,234,2,4.5 ,0.24%,514.00,77%,,2020-05-07,"1,514 ",AMZ,,7,1,Amazon,AMZ,,,,,,,,,,,,N,,4.34 kg,4.34 kg,37.7 x 28.5 x 9.7 cm,37.70 x 28.50 x 9.70 cm
B09Y5LXJCX,サイズ: 350ml×15本,"各合計:6 | アルコール含有量:7 容量パーセント | 原産地:日本 | 液体容量:350 ミリリットル | パッケージ重量:6.51 キログラム | ブランド:よなよなエール | ユニット数:1 個 | 本体の説明:フル,ライト,ミディアム",よなよなエール,【飲み比べ クラフトビール】よなよなエール 5種15本 ビール 詰め合わせセット クラフトビール 父の日プレゼント [限定包装] [メッセージカード付き] [ ビール 350ml x 15本 ],https://www.amazon.co.jp/s?k=よなよなエール,https://www.amazon.co.jp/dp/B09Y5LXJCX,https://m.media-amazon.com/images/I/71O0MR5nO9L._AC_US600_.jpg,B0CGQLB3P3,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"7,890","-4,854",-1.6,クラフトビール,19,827,,"4,413,360",100 ,"550,000 ",2,"5,500.00",,,,234,2,4.5 ,0.24%,815.00,75%,,2022-05-11,780 ,AMZ,,7,1,Amazon,AMZ,,,,,,,,,,,,N,,6.51 kg,6.51 kg,41 x 38.4 x 9.3 cm,41.00 x 38.40 x 9.30 cm
B0D1K2J3BV,,商品の重量:1.3 キログラム | 各合計:1 | アルコール含有量:5 容量パーセント | 原産地:バルセロナ | 液体容量:750 ミリリットル | 商品の個数:1 | パッケージ重量:1.67 キログラム | ブランド:ＫＵＧＥ | ユニット数:1.00 個 | 本体の説明:ライト,ＫＵＧＥ,イネディット 750ml ギフトボックス包装済み まるでシャンパンのような高級クラフトビール,https://www.amazon.co.jp/s?k=ＫＵＧＥ,https://www.amazon.co.jp/dp/B0D1K2J3BV,https://m.media-amazon.com/images/I/713noIT+w0L._AC_US600_.jpg,B0D5D8XWZ8,食品・飲料・お酒:お酒:ビール・発泡酒:クラフトビール,食品・飲料・お酒,"3,450","-2,377",-2.22,クラフトビール,4,715,,"2,631,200",400 ,"1,472,000 ",1,"3,680.00",,,,64,0,4.3 ,0.00%,514.00,76%,,2021-11-29,943 ,FBA,,5,1,サニートレーディングジャパン【年中無休で発送中！】,FBA,JP,"会社名：有限会社ＫＵＧＥ
電話番号：050-1724-3218
オフィス住所：
文京５－２－６
木更津市
千葉県
2920804
JP
マネージャー：久下 直之",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AZJP1RR9MECKB,,,,,,,,Y,Y,,1.3 kg,1.30 kg,12 x 12 x 33 cm,12.00 x 12.00 x 33.00 cm
