ASIN,SKU,製品概要,ブランド,タイトル,タイトルリンク,URL,メイン画像,親ASIN,カテゴリー,親カテゴリー,親カテゴリーBSR,親カテゴリーBSR増加数,親カテゴリーBSR成長率,子カテゴリー,子カテゴリーBSR,月間販売数,月間販売数成長率,月間販売額(￥),子ASIN販売数,子ASIN販売額(￥),バリエーション数,価格(￥),prime価格(￥),Coupon,Q&A,評価数,月間評価値増加数,評価値,評価率,FBA(￥),粗利益,等級,出品日付,販売時間,配送方法,配送料金(￥),LQS,セラー数,BuyBoxセラー,BuyBoxタイプ,セラー所在地,セラー情報,セラーリンク,Best Sellerマーク,スポンサー,ブランド紹介,スポンサー ブランド,タイムセール,Amazon's Choice,New Releaseマーク,A+ページ,動画紹介,ACキーワード,重量,重量,体積,体積
B07WHZVZP1,サイズ: シングル・100×200cm | 色: ホワイト,商品の寸法:2長さ x 1幅 m | 色:ホワイト | 材質:ポリエステル | サイズ:シングル・100×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （シングル・100×200cm ホワイト）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WHZVZP1,https://m.media-amazon.com/images/I/516OyyVFUML._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,41,11,0.21,ボックスシーツ,1,"17,085",,"33,999,152","1,000 ","1,990,000 ",25,"1,990.00",,,,"11,240",181,4.1 ,1.06%,465.00,62%,,2019-08-12,"1,814 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,,,Y,N,,0.4 キログラム,,200 x 100 x 0 cm,200.00 x 100.00 x 0.00 cm
B07WK3FWSX,サイズ: ダブル・140×200cm | 色: ホワイト,商品の寸法:2長さ x 1.4幅 m | 色:ホワイト | 材質:ポリエステル | サイズ:ダブル・140×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （ダブル・140×200cm ホワイト）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WK3FWSX,https://m.media-amazon.com/images/I/516OyyVFUML._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,41,3,0.07,ボックスシーツ,1,"17,085",2%,"37,552,832",600 ,"1,318,800 ",25,"2,198.00",,,3,"11,240",182,4.1 ,1.07%,485.00,63%,,2019-08-10,"1,816 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,Y,,Y,N,ボックスシーツ セミダブル,0.5 キログラム,,200 x 140 x 0 cm,200.00 x 140.00 x 0.00 cm
B07WMX3CLX,サイズ: クイーン・160×200cm | 色: グレー,商品の寸法:2長さ x 1.6幅 m | 色:グレー | 材質:ポリエステル | サイズ:クイーン・160×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （クイーン・160×200cm グレー）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WMX3CLX,https://m.media-amazon.com/images/I/51biN9X7U-L._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,37,16,0.3,ボックスシーツ,1,"17,085",,"38,546,320",500 ,"1,129,000 ",25,"2,258.00",,,6,"11,253",194,4.1 ,1.14%,465.00,64%,,2019-08-10,"1,816 ",FBA,,7,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,,,,,,Y,,Y,N,クイーンサイズ シーツ,0.55 キログラム,,200 x 160 x 0 cm,200.00 x 160.00 x 0.00 cm
B07WMWYGWP,サイズ: シングル・100×200cm | 色: ネイビー,商品の寸法:2長さ x 1幅 m | 色:ネイビー | 材質:ポリエステル | サイズ:シングル・100×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （シングル・100×200cm ネイビー）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WMWYGWP,https://m.media-amazon.com/images/I/51bfSU4SJqL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,41,11,0.21,ボックスシーツ,1,"17,085",,"33,999,152",900 ,"1,791,000 ",25,"1,990.00",,,7,"11,240",182,4.1 ,1.07%,514.00,59%,,2019-08-10,"1,816 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,,,Y,N,,0.4 キログラム,,200 x 100 x 0 cm,200.00 x 100.00 x 0.00 cm
B07WDRKVFL,サイズ: ダブル・140×200cm | 色: ブラウン,色:ブラウン | 素材構成:100％ポリエステル | 材質:ポリエステル | サイズ:ダブル・140×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （ダブル・140×200cm ブラウン）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WDRKVFL,https://m.media-amazon.com/images/I/51phBA+8zvL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,39,14,0.26,ボックスシーツ,1,"17,085",,"37,552,832",300 ,"659,400 ",25,"2,198.00",,,4,"11,255",197,4.1 ,1.15%,485.00,63%,,2019-08-10,"1,816 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,,,Y,N,,0.48 キログラム,,200 x 140 x 0 cm,200.00 x 140.00 x 0.00 cm
B07WDRKS9K,サイズ: ダブル・140×200cm | 色: ブラック,商品の寸法:2長さ x 1.4幅 m | 色:ブラック | 材質:ポリエステル | サイズ:ダブル・140×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （ダブル・140×200cm ブラック）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WDRKS9K,https://m.media-amazon.com/images/I/517KEkvM4wL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,41,11,0.21,ボックスシーツ,1,"17,085",,"37,552,832",500 ,"1,099,000 ",25,"2,198.00",,,,"11,231",173,4.1 ,1.01%,465.00,64%,,2019-08-10,"1,816 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,,,,,,Y,,Y,N,ダブルベッド シーツ,0.5 キログラム,,200 x 140 x 0 cm,200.00 x 140.00 x 0.00 cm
B07WFWNMTF,サイズ: ダブル・140×200cm | 色: ネイビー,商品の寸法:2長さ x 1.4幅 m | 色:ネイビー | 材質:ポリエステル | サイズ:ダブル・140×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （ダブル・140×200cm ネイビー）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WFWNMTF,https://m.media-amazon.com/images/I/51bfSU4SJqL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,38,15,0.28,ボックスシーツ,1,"17,085",,"37,552,832",400 ,"879,200 ",25,"2,198.00",,,3,"11,252",194,4.1 ,1.14%,485.00,63%,,2019-08-10,"1,816 ",FBA,,7,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,,,Y,N,,0.5 キログラム,,200 x 140 x 0 cm,200.00 x 140.00 x 0.00 cm
B07WGWMVM9,サイズ: クイーン・160×200cm | 色: ホワイト,商品の寸法:2長さ x 1.6幅 m | 色:ホワイト | 材質:ポリエステル | サイズ:クイーン・160×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （クイーン・160×200cm ホワイト）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WGWMVM9,https://m.media-amazon.com/images/I/516OyyVFUML._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,38,15,0.28,ボックスシーツ,1,"17,085",,"38,577,928",300 ,"677,400 ",25,"2,258.00",,,,"11,255",196,4.1 ,1.15%,465.00,64%,,2019-08-10,"1,816 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,,,Y,N,,0.5 キログラム,,200 x 160 x 0 cm,200.00 x 160.00 x 0.00 cm
B07WGWNPL7,サイズ: シングル・100×200cm | 色: ブラウン,商品の寸法:2長さ x 1幅 m | 色:ブラウン | 材質:ポリエステル | サイズ:シングル・100×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （シングル・100×200cm ブラウン）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WGWNPL7,https://m.media-amazon.com/images/I/51phBA+8zvL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,38,21,0.36,ボックスシーツ,1,"17,085",,"33,999,152",500 ,"995,000 ",25,"1,990.00",,,6,"11,252",194,4.1 ,1.14%,485.00,61%,,2019-08-10,"1,816 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,,,,,,Y,,Y,N,マットレスカバー,0.4 キログラム,,200 x 100 x 0 cm,200.00 x 100.00 x 0.00 cm
B09B7D1FHZ,サイズ: キング・180×200cm | 色: ネイビー,商品の寸法:2長さ x 1.8幅 m | 色:ネイビー | 材質:ポリエステル | サイズ:キング・180×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （キング・180×200cm ネイビー）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B09B7D1FHZ,https://m.media-amazon.com/images/I/41E3hRRBxjL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,41,11,0.21,ボックスシーツ,1,"17,085",,"39,261,328",50 ,"114,900 ",25,"2,298.00",,,,"11,230",191,4.1 ,1.12%,514.00,63%,,2021-08-30,"1,065 ",FBA,,7,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,,,Y,N,,0.65 キログラム,,200 x 180 x 0 cm,200.00 x 180.00 x 0.00 cm
